ticker,polarity,subjectivity,body,id
MVIS,-0.17410714285714285,0.4223214285714286,"Since MVIS 2 or 3 months ago, I haven't seen a single good yolo DD here. 

And by good I don't mean something that turned out to be profitable - AMC/GME broken watches are right once every month.

I mean something that was actually DD.

Shit, don't make me look for stocks myself guys.",gymibpt
LAND,0.0,0.05,"##IM GONNA DIP MY WIENER IN SUGAR WATER,  THEN GO OUTSIDE AND LET BUTTERFLIES LAND ON IT!!!!! 🦋🦋🦋🦋🦋",gynag54
GME,0.0,0.0,GME 🚀🤑,gylzn64
TEAM,0.0,0.0,DRILL TEAM 6,gylzr28
PLTR,0.0,0.0,PLTR,gym01d5
GME,0.0,0.1,Heard some twitch thot amouranth makes half a million a year. Are dudes who donated retarded? You get way better value proposition with an actual whore or GME FD calls!,gym87po
AMD,0.0,0.0,Are there any AMD long term bulls here?,gym9p7g
U,0.0642857142857143,0.20714285714285713,U know ur fcked when u start searching up how much a stock can rise in a single day,gymb0pu
AAPL,0.0,0.0,AAPL ruined all my gains once again.,gymb4zz
UWMC,0.0,0.0,Is UWMC growth play or dividend?,gymdgb0
FB,0.2,0.1,"Google wants to make android about security and not be known for selling your data anymore. 

If you own FB the red flags are all around you. Get the fuck out right now",gymyfi8
TSLA,0.0,0.0,Aliens are bullish a’f. Maybe they’ll confirm that Elon is from another planet. I expect a run up on TSLA up until pentagon report coming out EOM.,gymzfj8
AAPL,0.0,0.0,"Imagine accidentally selling 145 AAPL calls when you meant to buy them

Neither strategy really makes sense though",gyn201u
COIN,0.0,0.45,I guess Cathie just wants to keep getting drilled by COIN since she buys that shit every day,gynd3dv
PM,0.16666666666666666,0.3333333333333333,"Dallas TX 

9:28 PM

71 degrees 

Malibu on the main stage then Bacardi

Edit 1 - that is really the strippers names",gyndd3l
TX,0.16666666666666666,0.3333333333333333,"Dallas TX 

9:28 PM

71 degrees 

Malibu on the main stage then Bacardi

Edit 1 - that is really the strippers names",gyndd3l
RIDE,0.0,0.0,"If $RIDE goes up another 20% tmr, I’ll suck my own d*ck",gyndo0g
UWMC,0.16666666666666666,0.5833333333333334,"UWMC keeps rising at a steady pace. This wont be as sexy as some other stocks and likely won’t see such large and quick moons as other stocks mentioned here, but it’s almost certain to see a solid increase in the next weeks/months. Shares and a couple calls remains the move",gym7fg3
AMC,0.0,0.0,"The date is Jan 1 2022. AMC has fallen to $3 a share and still the coming short squeeze is being promised by the cult of AMC. ""It's happening shorts are being forced to cover"" they say as they have said for a year and yet no short squeeze in sight.

I wonder if I should wait another month for the short squeeze...?",gyn5mdl
PLTR,0.0,0.0,"PLTR hits $22.87...""only $0.64 till break even! This is a long term hold!"" exclaims the PLTaRd.

-WSB, ""Daily Discussion"", May 20, 2027.",gyncnci
LEG,0.0,0.0,"Before you listen to my tips, I do want to say I am a 26 year old virgin. This is for the boys:

1. Drink a gallon of water a day

2. Lift Weights. THAT MEANS LEG DAY TOO. 

3. Train yourself to take cold showers. Start of slow and work your way up, you can start hot but end cold.

4. Stop using social media.

5. Stop pursuing girls. Period. You only pursue when SHE shows interest and you’re interested as well. Besides that, block out all non-friend women in your life.

Edit. Getting a lot of comments regarding this is advice about women. This is general well-being/mental advice.",gynmxha
AAPL,0.0,0.0,Bought AAPL $127s at call of bell. Hope they print,gylzfol
RIDE,0.0,0.0,"after a 20% increase today and 12% yesterday, im going to watch $RIDE go the moon tomorrow 🚀",gylzzcz
TSLA,0.0,0.0,"TSLA down on news it won't benefit from the Infrastructure bills (we were quite a few to tell you that)

https://twitter.com/ClaireMusk/status/1394683226317275138?s=20",gym0afl
MRNA,0.0,0.0,Got the 1sr MRNA vaccine yesterday and feel like death. Puts maybe.,gym2vg4
GE,0.203125,0.6375,"Why the fuck is $GE not getting the attention it deserves? Cut production cost by 35% and crickets..
Upgraded fair value.....crickets..
What am I missing??? 
Logo looks nice, the little graphy thing-a-mabob looks nice...",gym56wi
AAPL,-0.4571428571428572,0.8285714285714285,Tired of averaging down my AAPL calls. Sick of this shit.,gymafvi
