datetime	ticker	num_mentioned	polarity	subjectivity
2021-04-16	GME	18.0	-0.029082491582491567	0.3052188552188552
2021-05-15	CLOV	18.0	-0.04976851851851852	0.15740740740740738
2021-02-26	GME	18.0	0.02619488536155203	0.19726190476190475
2021-02-09	GME	18.0	-0.006072180134680136	0.35887626262626265
2021-01-30	NIO	17.0	0.04803921568627451	0.2303921568627451
2021-01-31	NOK	17.0	-0.006684491978609626	0.15278838808250572
2021-05-30	NOK	17.0	0.054901960784313725	0.10098039215686273
2021-04-20	CLOV	17.0	0.01928104575163399	0.25473856209150325
2021-02-10	GME	17.0	0.01814935064935065	0.18695208386384854
2021-04-16	AAPL	16.0	-0.026041666666666664	0.1015625
2021-03-11	AMC	16.0	-0.041157354797979794	0.20700094696969698
2021-06-02	ACB	16.0	0.007528409090909089	0.20340909090909093
